Node number, Analytical Solution, Numerical Solution, Error
0,2.85714e-05,2.85714e-05,0
1,2.83482e-05,2.83482e-05,0
2,2.8125e-05,2.8125e-05,0
3,2.79018e-05,2.79018e-05,0
4,2.76786e-05,2.76786e-05,0
5,2.74554e-05,2.74554e-05,0
6,2.72321e-05,2.72321e-05,0
7,2.70089e-05,2.70089e-05,0
8,2.67857e-05,2.67857e-05,0
9,2.65625e-05,2.65625e-05,0
10,2.63393e-05,2.63393e-05,0
11,2.61161e-05,2.61161e-05,0
12,2.58929e-05,2.58929e-05,0
13,2.56696e-05,2.56696e-05,0
14,2.54464e-05,2.54464e-05,0
15,2.52232e-05,2.52232e-05,0
16,2.5e-05,2.5e-05,0
17,2.47768e-05,2.47768e-05,0
18,2.45536e-05,2.45536e-05,0
19,2.43304e-05,2.43304e-05,0
20,2.41071e-05,2.41071e-05,0
21,2.38839e-05,2.38839e-05,0
22,2.36607e-05,2.36607e-05,0
23,2.34375e-05,2.34375e-05,0
24,2.32143e-05,2.32143e-05,0
25,2.29911e-05,2.29911e-05,0
26,2.27679e-05,2.27679e-05,0
27,2.25446e-05,2.25446e-05,0
28,2.23214e-05,2.23214e-05,0
29,2.20982e-05,2.20982e-05,0
30,2.1875e-05,2.1875e-05,0
31,2.16518e-05,2.16518e-05,0
32,2.14286e-05,2.14286e-05,0
33,2.12054e-05,2.12054e-05,0
34,2.09821e-05,2.09821e-05,0
35,2.07589e-05,2.07589e-05,0
36,2.05357e-05,2.05357e-05,0
37,2.03125e-05,2.03125e-05,0
38,2.00893e-05,2.00893e-05,0
39,1.98661e-05,1.98661e-05,0
40,1.96429e-05,1.96429e-05,0
41,1.94196e-05,1.94196e-05,0
42,1.91964e-05,1.91964e-05,0
43,1.89732e-05,1.89732e-05,0
44,1.875e-05,1.875e-05,0
45,1.85268e-05,1.85268e-05,0
46,1.83036e-05,1.83036e-05,0
47,1.80804e-05,1.80804e-05,0
48,1.78571e-05,1.78571e-05,0
49,1.76339e-05,1.76339e-05,0
50,1.74107e-05,1.74107e-05,0
51,1.71875e-05,1.71875e-05,0
52,1.69643e-05,1.69643e-05,0
53,1.67411e-05,1.67411e-05,0
54,1.65179e-05,1.65179e-05,0
55,1.62946e-05,1.62946e-05,0
56,1.60714e-05,1.60714e-05,0
57,1.58482e-05,1.58482e-05,0
58,1.5625e-05,1.5625e-05,0
59,1.54018e-05,1.54018e-05,0
60,1.51786e-05,1.51786e-05,0
61,1.49554e-05,1.49554e-05,0
62,1.47321e-05,1.47321e-05,0
63,1.45089e-05,1.45089e-05,0
64,1.42857e-05,1.42857e-05,0
65,1.40625e-05,1.40625e-05,0
66,1.38393e-05,1.38393e-05,0
67,1.36161e-05,1.36161e-05,0
68,1.33929e-05,1.33929e-05,0
69,1.31696e-05,1.31696e-05,0
70,1.29464e-05,1.29464e-05,0
71,1.27232e-05,1.27232e-05,0
72,1.25e-05,1.25e-05,0
73,1.22768e-05,1.22768e-05,0
74,1.20536e-05,1.20536e-05,0
75,1.18304e-05,1.18304e-05,0
76,1.16071e-05,1.16071e-05,0
77,1.13839e-05,1.13839e-05,0
78,1.11607e-05,1.11607e-05,0
79,1.09375e-05,1.09375e-05,0
80,1.07143e-05,1.07143e-05,0
81,1.04911e-05,1.04911e-05,0
82,1.02679e-05,1.02679e-05,0
83,1.00446e-05,1.00446e-05,0
84,9.82143e-06,9.82143e-06,0
85,9.59821e-06,9.59821e-06,0
86,9.375e-06,9.375e-06,0
87,9.15179e-06,9.15179e-06,0
88,8.92857e-06,8.92857e-06,0
89,8.70536e-06,8.70536e-06,0
90,8.48214e-06,8.48214e-06,0
91,8.25893e-06,8.25893e-06,0
92,8.03571e-06,8.03571e-06,0
93,7.8125e-06,7.8125e-06,0
94,7.58929e-06,7.58929e-06,0
95,7.36607e-06,7.36607e-06,0
96,7.14286e-06,7.14286e-06,0
97,6.91964e-06,6.91964e-06,0
98,6.69643e-06,6.69643e-06,0
99,6.47321e-06,6.47321e-06,0
100,6.25e-06,6.25e-06,0
101,6.02679e-06,6.02679e-06,0
102,5.80357e-06,5.80357e-06,0
103,5.58036e-06,5.58036e-06,0
104,5.35714e-06,5.35714e-06,0
105,5.13393e-06,5.13393e-06,0
106,4.91071e-06,4.91071e-06,0
107,4.6875e-06,4.6875e-06,0
108,4.46429e-06,4.46429e-06,0
109,4.24107e-06,4.24107e-06,0
110,4.01786e-06,4.01786e-06,0
111,3.79464e-06,3.79464e-06,0
112,3.57143e-06,3.57143e-06,0
113,3.34821e-06,3.34821e-06,0
114,3.125e-06,3.125e-06,0
115,2.90179e-06,2.90179e-06,0
116,2.67857e-06,2.67857e-06,0
117,2.45536e-06,2.45536e-06,0
118,2.23214e-06,2.23214e-06,0
119,2.00893e-06,2.00893e-06,0
120,1.78571e-06,1.78571e-06,0
121,1.5625e-06,1.5625e-06,0
122,1.33929e-06,1.33929e-06,0
123,1.11607e-06,1.11607e-06,0
124,8.92857e-07,8.92857e-07,0
125,6.69643e-07,6.69643e-07,0
126,4.46429e-07,4.46429e-07,0
127,2.23214e-07,2.23214e-07,0
128,0,0,0

RMS Error: 0
